USD LIBOR,Overnight rate
Date,rf
10/23/02,1.795
10/24/02,1.79
10/25/02,1.785
10/28/02,1.80625
10/29/02,1.8475
10/30/02,1.86625
10/31/02,1.95
11/1/02,1.8375
11/4/02,1.80125
11/5/02,1.7825
11/6/02,1.63875
11/7/02,1.35625
11/8/02,1.31875
11/11/02,.
11/12/02,1.3625
11/13/02,1.375
11/14/02,1.34625
11/15/02,1.36625
11/18/02,1.3125
11/19/02,1.265
11/20/02,1.23875
11/21/02,1.2525
11/22/02,1.26625
11/25/02,1.3125
11/26/02,1.3225
11/27/02,1.36375
11/28/02,.
11/29/02,1.41625
12/2/02,1.35
12/3/02,1.3075
12/4/02,1.27375
12/5/02,1.27625
12/6/02,1.26875
12/9/02,1.30125
12/10/02,1.29125
12/11/02,1.295
12/12/02,1.2975
12/13/02,1.2825
12/16/02,1.36125
12/17/02,1.30375
12/18/02,1.29375
12/19/02,1.29625
12/20/02,1.27125
12/23/02,1.31625
12/24/02,1.32563
12/25/02,.
12/26/02,.
12/27/02,1.32
12/30/02,1.3675
12/31/02,1.40375
1/1/03,.
1/2/03,1.36125
1/3/03,1.3125
1/6/03,1.3075
1/7/03,1.29875
1/8/03,1.275
1/9/03,1.29625
1/10/03,1.28625
1/13/03,1.2975
1/14/03,1.30125
1/15/03,1.35125
1/16/03,1.29125
1/17/03,1.255
1/20/03,.
1/21/03,1.3
1/22/03,1.30625
1/23/03,1.295
1/24/03,1.26125
1/27/03,1.29
1/28/03,1.2925
1/29/03,1.285
1/30/03,1.295
1/31/03,1.3525
2/3/03,1.30625
2/4/03,1.30375
2/5/03,1.2875
2/6/03,1.29
2/7/03,1.25625
2/10/03,1.28875
2/11/03,1.285
2/12/03,1.275
2/13/03,1.2725
2/14/03,1.26625
2/17/03,.
2/18/03,1.365
2/19/03,1.30625
2/20/03,1.29625
2/21/03,1.26875
2/24/03,1.29
2/25/03,1.29
2/26/03,1.295
2/27/03,1.32
2/28/03,1.37125
3/3/03,1.36375
3/4/03,1.33625
3/5/03,1.31625
3/6/03,1.3
3/7/03,1.26625
3/10/03,1.29875
3/11/03,1.28
3/12/03,1.27625
3/13/03,1.27875
3/14/03,1.32125
3/17/03,1.36375
3/18/03,1.2925
3/19/03,1.285
3/20/03,1.30125
3/21/03,1.27375
3/24/03,1.2975
3/25/03,1.2975
3/26/03,1.30125
3/27/03,1.3075
3/28/03,1.35
3/31/03,1.51
4/1/03,1.375
4/2/03,1.31625
4/3/03,1.30625
4/4/03,1.28
4/7/03,1.30375
4/8/03,1.3025
4/9/03,1.3025
4/10/03,1.30125
4/11/03,1.29375
4/14/03,1.3175
4/15/03,1.405
4/16/03,1.3425
4/17/03,1.32375
4/18/03,.
4/21/03,.
4/22/03,1.31375
4/23/03,1.30875
4/24/03,1.30375
4/25/03,1.275
4/28/03,1.3275
4/29/03,1.3475
4/30/03,1.435
5/1/03,1.365
5/2/03,1.29875
5/5/03,.
5/6/03,1.3025
5/7/03,1.3
5/8/03,1.30375
5/9/03,1.29375
5/12/03,1.3025
5/13/03,1.3175
5/14/03,1.325
5/15/03,1.4
5/16/03,1.30125
5/19/03,1.3075
5/20/03,1.3
5/21/03,1.2925
5/22/03,1.28375
5/23/03,1.27
5/26/03,.
5/27/03,1.3075
5/28/03,1.33125
5/29/03,1.35375
5/30/03,1.4275
6/2/03,1.37125
6/3/03,1.3
6/4/03,1.28875
6/5/03,1.28125
6/6/03,1.2725
6/9/03,1.3025
6/10/03,1.3025
6/11/03,1.3025
6/12/03,1.29875
6/13/03,1.2825
6/16/03,1.37625
6/17/03,1.305
6/18/03,1.3
6/19/03,1.29875
6/20/03,1.2775
6/23/03,1.2975
6/24/03,1.2825
6/25/03,1.12
6/26/03,1.115
6/27/03,1.28375
6/30/03,1.52125
7/1/03,1.25125
7/2/03,1.1225
7/3/03,1.06
7/4/03,.
7/7/03,1.095
7/8/03,1.08875
7/9/03,1.07375
7/10/03,1.05875
7/11/03,1.02625
7/14/03,1.07
7/15/03,1.115
7/16/03,1.08
7/17/03,1.0675
7/18/03,1.025
7/21/03,1.0725
7/22/03,1.05875
7/23/03,1.06
7/24/03,1.05625
7/25/03,1.02875
7/28/03,1.06375
7/29/03,1.06625
7/30/03,1.08625
7/31/03,1.18625
8/1/03,1.08125
8/4/03,1.0725
8/5/03,1.0725
8/6/03,1.04625
8/7/03,1.03
8/8/03,1.0125
8/11/03,1.05125
8/12/03,1.05875
8/13/03,1.0575
8/14/03,1.0675
8/15/03,1.23
8/18/03,1.0975
8/19/03,1.07875
8/20/03,1.0475
8/21/03,1.01375
8/22/03,1.0325
8/25/03,.
8/26/03,1.06375
8/27/03,1.07125
8/28/03,1.07625
8/29/03,1.17875
9/1/03,.
9/2/03,1.1125
9/3/03,1.08875
9/4/03,1.075
9/5/03,1.04125
9/8/03,1.06625
9/9/03,1.06
9/10/03,1.0525
9/11/03,1.0325
9/12/03,1.04
9/15/03,1.17625
